,Country,Total Library Count,TV Shows Count,Movies Count,Basic Cost,Standard Cost,Premium Cost
0,Argentina,4760.0,3154.0,1606.0,3.74,6.3,9.26
1,Austria,5640.0,3779.0,1861.0,9.03,14.67,20.32
3,Bulgaria,6797.0,4819.0,1978.0,9.03,11.29,13.54
4,Chile,4994.0,3156.0,1838.0,7.07,9.91,14.69
6,Costa Rica,4988.0,3152.0,1836.0,8.99,12.99,15.99
7,Croatia,2274.0,1675.0,599.0,8.99,11.29,13.54
8,Czechia,7325.0,5234.0,2091.0,8.83,11.49,14.15
9,Ecuador,4992.0,3155.0,1837.0,7.99,10.99,13.99
10,Estonia,6456.0,4486.0,1970.0,8.99,11.29,13.54
11,France,5445.0,3604.0,1841.0,10.16,15.24,20.32
12,Germany,5668.0,3814.0,1854.0,9.03,14.67,20.32
13,Gibraltar,6167.0,4079.0,2088.0,9.03,14.67,20.32
14,Greece,4772.0,3344.0,1428.0,9.03,12.42,15.8
15,Guatemala,4767.0,3154.0,1613.0,7.99,10.99,13.99
16,Honduras,4989.0,3154.0,1835.0,7.99,10.99,13.99
17,Hong Kong,4746.0,2883.0,1863.0,8.08,10.0,14.69
18,Iceland,6387.0,4426.0,1961.0,9.03,14.67,20.32
19,India,5843.0,3718.0,2125.0,2.64,6.61,8.6
20,Israel,5713.0,3650.0,2063.0,10.56,15.05,25.610000000000003
21,Italy,5183.0,3545.0,1638.0,9.03,11.49,20.32
22,Japan,5475.0,3619.0,1856.0,8.73,13.13,17.45
23,Liechtenstein,3048.0,1712.0,1336.0,12.88,20.46,26.96
24,Malaysia,5952.0,3565.0,2387.0,8.29,10.65,13.02
25,Mexico,4993.0,3158.0,1835.0,6.62,10.43,14.24
26,Moldova,3937.0,2473.0,1464.0,9.03,11.29,13.54
27,Monaco,5804.0,3806.0,1998.0,8.99,13.54,18.06
28,Norway,4528.0,2955.0,1573.0,9.94,12.17,17.75
29,Paraguay,4797.0,3155.0,1642.0,8.29,11.49,14.69
30,Peru,4986.0,3155.0,1831.0,6.11,8.56,11.01
31,Philippines,6362.0,4154.0,2208.0,7.35,9.14,10.93
32,Poland,5109.0,3512.0,1597.0,7.13,10.58,14.76
33,Romania,5303.0,3832.0,1471.0,9.03,11.29,13.54
34,Russia,5711.0,3624.0,2087.0,8.13,10.84,13.56
35,San Marino,2310.0,1937.0,373.0,9.03,14.67,20.32
36,Slovakia,7035.0,5055.0,1980.0,9.03,11.29,13.54
37,South Africa,5736.0,3686.0,2050.0,6.26,10.05,12.58
38,South Korea,5195.0,3334.0,1861.0,8.07,11.47,14.45
39,Taiwan,5105.0,3134.0,1971.0,9.74,11.9,14.07
40,Thailand,4948.0,2977.0,1971.0,8.34,10.43,12.52
41,Turkey,4639.0,2930.0,1709.0,2.238805970149254,3.0,4.02
42,Ukraine,5336.0,3261.0,2075.0,5.64,8.46,11.29
43,Uruguay,4989.0,3154.0,1835.0,8.99,12.99,15.99
44,Venezuela,4797.0,3154.0,1643.0,7.99,10.99,13.99
45,Belgium,4990.0,3374.0,1616.0,10.16,15.24,20.32
46,Singapore,6303.0,4109.0,2194.0,9.51,12.81,16.11
47,Finland,4045.0,2638.0,1407.0,9.03,13.54,18.06
48,Latvia,6450.0,4479.0,1971.0,9.03,11.29,13.54
49,New Zealand,6084.0,4003.0,2081.0,8.8,12.53,16.94
51,Portugal,5047.0,3419.0,1628.0,9.03,13.54,18.06
52,Netherlands,5376.0,3779.0,1597.0,9.03,13.54,14.69
53,Sweden,4361.0,2973.0,1388.0,10.9,14.2,19.7
54,Canada,6239.0,4311.0,1928.0,7.91,11.87,15.03
55,Lithuania,6462.0,4490.0,1972.0,9.03,11.29,13.54
56,Spain,5229.0,3536.0,1693.0,9.03,14.67,20.32
57,United Kingdom,6643.0,4551.0,2092.0,7.91,13.2,18.48
58,Indonesia,3887.0,2449.0,1438.0,8.36,10.66,12.96
59,Brazil,4972.0,3162.0,1810.0,4.61,7.11,9.96
60,Ireland,6486.0,4515.0,1971.0,9.03,14.67,20.32
61,Switzerland,5506.0,3654.0,1852.0,12.88,20.46,26.96
62,Australia,6114.0,4050.0,2064.0,8.99,12.12,16.39
64,United States,5818.0,3826.0,1992.0,8.99,11.49,17.99
